"","_num","_widgetName","_source","_resultNumber","_pageUrl","id","rank","workers","company","url","state_l","state_s","city","metro","growth","revenue","industry","yrs_on_list"
"103",745,"Inc5000 Company List","Inc5000 Company List",745,"http://www.inc.com/inc5000list/json/inc5000_2014.json",26557,745,42,"Defense Point Security","defense-point-security","Virginia","VA","Alexandria","Washington DC",611.43,6649828,"Security",1
"104",746,"Inc5000 Company List","Inc5000 Company List",746,"http://www.inc.com/inc5000list/json/inc5000_2014.json",24902,746,6,"Oakmont Home Builders","oakmont-home-builders","North Carolina","NC","Charlotte","Charlotte",610.75,28865911,"Construction",1
"105",747,"Inc5000 Company List","Inc5000 Company List",747,"http://www.inc.com/inc5000list/json/inc5000_2014.json",26445,747,17,"Riders Needs","riders-needs","Illinois","IL","Chicago","Chicago",610.13,6477942,"Retail",1
"106",748,"Inc5000 Company List","Inc5000 Company List",748,"http://www.inc.com/inc5000list/json/inc5000_2014.json",25064,748,9,"Dependable Transportation","dependable-transportation","Illinois","IL","Mattoon","Charleston-Mattoon IL",609.91,6626625,"Logistics & Transportation",1
"107",749,"Inc5000 Company List","Inc5000 Company List",749,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23163,749,18,"Channel Partners","channel-partners","Minnesota","MN","Maple Grove","Minneapolis",608.28,3673990,"Financial Services",2
"108",750,"Inc5000 Company List","Inc5000 Company List",750,"http://www.inc.com/inc5000list/json/inc5000_2014.json",24642,750,150,"CentraLite Systems","centralite-systems","Alabama","AL","Mobile","Mobile AL",608.18,20530862,"Consumer Products & Services",1
"109",752,"Inc5000 Company List","Inc5000 Company List",752,"http://www.inc.com/inc5000list/json/inc5000_2014.json",22967,752,62,"Apartment List","apartment-list","California","CA","San Francisco","San Francisco",607.1,17225000,"Real Estate",2
"110",753,"Inc5000 Company List","Inc5000 Company List",753,"http://www.inc.com/inc5000list/json/inc5000_2014.json",25798,753,105,"L&E Research","le-research","North Carolina","NC","Raleigh","Raleigh-Cary NC",606.22,4657984,"Advertising & Marketing",1
"111",754,"Inc5000 Company List","Inc5000 Company List",754,"http://www.inc.com/inc5000list/json/inc5000_2014.json",26437,754,65,"Syntegrity Networks","syntegrity-networks","Washington","WA","Seattle","Seattle",605.3,7634619,"Security",1
"112",755,"Inc5000 Company List","Inc5000 Company List",755,"http://www.inc.com/inc5000list/json/inc5000_2014.json",25023,755,12,"Transportation One","transportation-one","Illinois","IL","Chicago","Chicago",605.11,7099620,"Logistics & Transportation",1
"113",756,"Inc5000 Company List","Inc5000 Company List",756,"http://www.inc.com/inc5000list/json/inc5000_2014.json",21012,756,25,"Quantum Networks","quantum-networks","New York","NY","New York","New York City",603.09,22950287,"Consumer Products & Services",3
"114",757,"Inc5000 Company List","Inc5000 Company List",757,"http://www.inc.com/inc5000list/json/inc5000_2014.json",21387,757,58,"Etouches","etouches","Connecticut","CT","Norwalk","Bridgeport-Stamford-Norwalk CT",603.06,8050000,"Software",3
"115",758,"Inc5000 Company List","Inc5000 Company List",758,"http://www.inc.com/inc5000list/json/inc5000_2014.json",25161,758,15,"CarePatrol Franchise Systems","carepatrol-franchise-systems","Arizona","AZ","Gilbert","Phoenix",602.74,2400830,"Health",1
"116",759,"Inc5000 Company List","Inc5000 Company List",759,"http://www.inc.com/inc5000list/json/inc5000_2014.json",25344,759,31,"Evista Environmental Health Systems","evista-environmental-health-systems","California","CA","Newport Beach","Los Angeles",602.14,3714119,"Environmental Services",1
